Habitat,Sex,Standard length,Eye diameter,Head length,Head width,Predorsal length,Gape width
Surface,Female,23,2.4,6.0,4.5,7.7,2.2
Surface,Female,68,4.0,13.2,9.2,22.3,4.8
Surface,Male,35,2.3,7.0,4.2,11.3,2.2
Surface,Male,27,2.3,6.3,4.1,9.3,2.3
Surface,Female,35,3.3,9.3,6.4,11.0,3.2
Surface,Male,28,2.6,7.3,4.8,9.0,2.4
Surface,Female,34,3.0,8.9,6.7,10.8,3.3
Surface,Male,22,2.2,6.5,3.8,7.6,2.0
Surface,Male,42,3.9,11.3,7.8,13.5,4.1
Surface,Male,32,2.9,8.1,5.7,10.7,3.3
Surface,Male,28,2.9,7.3,5.0,8.9,3.2
Surface,Male,37,3.4,10.4,6.8,11.9,4.1
Surface,Male,29,3.1,8.1,5.2,9.7,3.5
Surface,Male,30,2.5,7.7,5.4,10.4,2.8
Surface,Male,35,3.1,8.8,6.0,11.9,3.6
Surface,Male,30,2.9,8.2,5.3,9.6,3.0
Surface,Male,27,2.4,7.1,4.5,9.2,2.8
Surface,Male,30,3.0,7.3,5.0,10.1,2.9
Surface,Male,27,2.9,6.8,4.9,8.7,2.7
Surface,Male,31,3.1,8.9,5.3,10.0,3.2
Surface,Male,30,3.0,8.2,5.5,9.5,3.1
Surface,Male,31,2.8,7.8,5.5,10.1,2.9
Surface,Male,27,2.8,7.0,4.9,9.4,2.9
Surface,Male,32,3.0,8.3,5.8,10.8,3.5
Surface,Male,22,2.5,6.3,3.7,7.2,2.2
Surface,Male,32,3.1,8.4,5.7,10.5,3.7
Surface,Male,23,2.4,6.9,4.2,7.4,2.3
Surface,Male,29,3.1,8.1,5.3,9.4,3.0
Surface,Male,24,2.7,7.0,4.6,8.0,2.8
Surface,Male,26,2.8,7.2,5.1,8.6,2.9
Surface,Male,22,2.3,6.0,3.6,7.0,2.0
Surface,Female,31,3.4,8.7,6.2,10.0,3.4
Surface,Female,44,3.7,11.0,8.2,14.1,4.6
Surface,Female,40,3.9,10.1,7.6,13.1,4.4
Surface,Female,35,3.5,9.2,6.7,11.5,3.9
Surface,Female,33,3.3,8.7,6.7,11.3,4.1
Surface,Female,47,4.2,12.1,8.9,15.4,4.9
Surface,Female,36,3.4,8.9,6.8,11.3,3.9
Surface,Female,42,3.9,11.5,8.1,13.6,4.4
Surface,Female,34,3.1,9.0,6.7,11.1,3.6
Surface,Female,41,3.5,10.2,7.4,13.9,4.4
Surface,Female,30,3.2,8.1,5.7,10.2,3.4
Surface,Female,49,4.3,12.4,9.7,16.4,5.0
Surface,Female,42,4.0,10.7,8.2,13.4,4.5
Surface,Female,37,3.4,9.9,7.1,12.1,3.8
Surface,Female,33,3.5,8.9,6.9,10.7,3.8
Surface,Female,35,3.3,9.5,6.9,11.6,3.7
Surface,Female,34,3.1,8.4,7.1,11.4,3.4
Surface,Male,47,3.9,11.9,8.7,16.0,5.0
Surface,Female,32,3.2,8.8,6.3,10.4,3.2
Surface,Female,32,3.3,8.6,6.6,10.6,3.1
Surface,Female,30,3.2,8.4,6.3,9.7,3.3
Surface,Female,34,3.4,9.2,6.5,10.8,3.8
Surface,Female,30,3.1,8.5,6.3,9.9,3.6
Surface,Female,25,2.5,7.0,4.9,8.7,2.7
Surface,Female,37,3.7,9.3,6.9,12.4,3.9
Surface,Female,30,2.9,8.2,5.6,10.1,3.2
Surface,Female,27,2.8,7.7,5.7,8.6,3.4
Surface,Female,30,3.0,8.2,6.0,10.3,3.4
Surface,Female,30,2.8,8.0,5.9,9.9,3.1
