Habitat,Sex,Standard length,Eye diameter,Head length,Head width,Predorsal length,Gape width
Surface,Male,25,2.5,7.5,5.4,7.7,3.8
Surface,Male,26,2.6,8.4,5.6,8.9,3.5
Surface,Female,46,3.3,10.5,8.2,15.5,4.0
Surface,Male,28,2.8,8.1,5.8,9.8,3.7
Surface,Male,21,2.4,6.6,4.5,6.7,2.7
Surface,Male,24,2.5,8.0,5.1,7.7,3.5
Surface,Male,24,2.5,7.5,5.5,7.5,3.2
Surface,Male,24,2.4,7.4,5.4,7.8,3.1
Surface,Male,27,2.7,8.1,5.5,9.1,3.9
Surface,Male,24,2.4,7.3,5.4,8.1,3.1
Surface,Male,23,2.4,7.0,5.0,7.2,3.0
Surface,Male,25,2.5,8.0,5.3,8.6,3.4
Surface,Female,52,3.4,10.8,8.4,16.7,5.2
Surface,Male,26,2.7,8.0,5.6,8.6,3.7
Surface,Female,27,2.9,9.2,6.2,8.9,4.4
Surface,Female,28,3.0,9.7,6.7,8.9,3.7
Surface,Female,27,2.7,8.2,5.9,8.9,3.5
Surface,Female,27,2.8,7.7,6.5,9.4,3.4
Surface,Female,22,2.3,7.0,5.3,7.7,3.5
Surface,Female,24,2.4,7.9,5.7,8.3,3.6
Surface,Female,23,2.5,8.3,5.6,7.7,3.6
Surface,Female,22,2.3,7.2,4.8,7.1,3.5
Surface,Male,35,2.5,8.0,5.8,11.7,3.4
